date,sale,stock,price
2021-12-27,106,705,1.39
2021-12-28,100,604,1.39
2021-12-29,9,595,1.39
2021-12-30,0,595,1.39
2021-12-31,0,595,1.39
2022-01-01,0,595,1.39
2022-01-02,3,592,1.39
2022-01-03,0,592,2.29
2022-01-04,0,592,1.46
2022-01-05,3,589,1.46
2022-01-06,3,586,1.46
2022-01-07,0,586,1.46
2022-01-08,2,584,1.46
2022-01-09,0,584,0
2022-01-10,3,581,1.46
2022-01-11,0,581,1.46
2022-01-12,103,478,1.46
2022-01-13,164,314,1.46
2022-01-14,118,196,1.46
2022-01-15,65,131,1.46
2022-01-16,24,107,1.46
2022-01-17,0,107,0
2022-01-18,1,106,1.46
2022-01-19,0,106,1.46
2022-01-20,1,105,1.46
2022-01-21,60,3213,1.46
2022-01-22,103,3110,1.35
2022-01-23,263,2847,1.39
2022-01-24,189,2658,1.39
2022-01-25,197,2461,1.39
2022-01-26,105,2356,1.46
2022-01-27,129,2227,1.46
2022-01-28,144,2083,1.46
2022-01-29,173,1910,1.79
2022-01-30,293,1617,1.79
2022-01-31,219,1398,1.79
2022-02-01,131,1267,1.79
2022-02-02,184,1083,1.79
2022-02-03,266,817,1.79
2022-02-04,98,815,2.18
2022-02-05,67,1420,2.29
2022-02-06,85,1335,2.29
2022-02-07,78,1257,2.29
2022-02-08,71,1185,2.19
2022-02-09,113,1072,2.19
2022-02-10,138,1894,2.19
2022-02-11,98,1796,2.19
2022-02-12,96,1700,2.19
2022-02-13,190,1510,2.19
2022-02-14,105,1510,2.19
2022-02-15,25,1510,2.19
2022-02-16,47,1909,2.19
2022-02-17,63,1845,2.19
2022-02-18,39,1806,2.19
2022-02-19,35,1771,2.19
2022-02-20,77,1982,2.19
2022-02-21,60,1922,2.19
2022-02-22,52,1870,2.19
2022-02-23,51,1819,2.19
2022-02-24,37,1782,2.19
2022-02-25,42,1740,2.19
2022-02-26,89,1651,2.19
2022-02-27,217,1367,2.19
2022-02-28,197,1170,2.19
29-02-2022,81,1089,2.19
2022-03-01,58,1607,2.19
2022-03-02,120,1487,2.19
2022-03-03,64,1423,2.19
2022-03-04,64,1743,2.59
2022-03-05,76,1667,2.59
2022-03-06,86,1581,2.59
2022-03-07,98,1867,2.59
2022-03-08,53,1814,2.59
2022-03-09,38,1774,2.59
2022-03-10,46,1728,2.19
2022-03-11,45,1779,2.19
2022-03-12,67,1712,2.19
2022-03-13,52,1660,2.19
2022-03-14,24,1825,2.19
2022-03-15,51,1774,2.19
2022-03-16,127,1647,2.19
2022-03-17,75,1572,2.19
2022-03-18,62,1510,2.19
2022-03-19,128,1478,1.99
2022-03-20,138,1340,1.99
2022-03-21,74,1554,1.99
2022-03-22,73,1480,2.59
2022-03-23,100,1380,2.59
2022-03-24,71,1501,2.59
2022-03-25,99,1402,2.59
2022-03-26,102,1396,2.59
2022-03-27,57,1339,2.59
2022-03-28,23,1507,2.59
2022-03-29,35,1760,2.59
2022-03-30,59,1701,2.59
2022-03-31,41,1660,2.59
2022-04-01,68,1592,2.59
2022-04-02,84,1508,2.59
2022-04-03,42,1466,2.59
2022-04-04,95,1659,2.59
2022-04-05,85,1574,2.59
2022-04-06,102,1472,2.59
2022-04-07,111,1457,2.59
2022-04-08,113,1344,2.59
2022-04-09,208,1136,2.59
2022-04-10,148,988,2.59
2022-04-11,123,2023,2.59
2022-04-12,62,1955,2.59
2022-04-13,129,1825,2.59
2022-04-14,102,1723,2.59
2022-04-15,110,3917,2.59
2022-04-16,202,3715,2.59
2022-04-17,144,3571,2.59
2022-04-18,84,3487,2.59
2022-04-19,127,3360,1.89
2022-04-20,181,3179,1.89
2022-04-21,268,2911,1.89
2022-04-22,278,2636,1.89
2022-04-23,234,2402,1.89
2022-04-24,133,2269,1.89
2022-04-25,91,2178,1.89
2022-04-26,83,2095,2.59
2022-04-27,139,1956,2.59
2022-04-28,113,1843,2.59
2022-04-29,141,1702,2.59
2022-04-30,228,1474,2.59
2022-05-01,163,1311,2.59
2022-05-02,0,1605,2.59
2022-05-03,125,1768,2.57
2022-05-04,180,1876,2.59
2022-05-05,222,1846,1.88
2022-05-06,243,1602,1.89
2022-05-07,408,1196,1.89
2022-05-08,181,1014,1.89
2022-05-09,176,838,1.88
2022-05-10,178,660,1.89
2022-05-11,310,348,1.38
2022-05-12,134,213,1.89
2022-05-13,132,81,1.89
2022-05-14,1,80,1.89
2022-05-15,0,80,0
2022-05-16,0,80,2.59
2022-05-17,0,2383,2.59
2022-05-18,110,2262,2.59
2022-05-19,81,2181,2.59
2022-05-20,112,2069,2.59
2022-05-21,186,2069,2.59
2022-05-22,113,1770,2.59
2022-05-23,86,1684,2.59
2022-05-24,59,1817,2.59
2022-05-25,94,5946,2.59
2022-05-26,167,5779,2.59
2022-05-27,244,5535,2.59
2022-05-28,261,5273,2.59
2022-05-29,187,5085,2.59
2022-05-30,115,4970,2.59
2022-05-31,139,4831,2.59
2022-06-01,273,4558,2.59
2022-06-02,235,4323,2.59
2022-06-03,172,4151,2.59
2022-06-04,323,3828,2.59
2022-06-05,336,3492,2.59
2022-06-06,127,3365,2.59
2022-06-07,137,3228,2.59
2022-06-08,249,2979,2.59
2022-06-09,201,2778,2.59
2022-06-10,271,2507,1.81
2022-06-11,512,2187,1.65
2022-06-12,317,1870,1.66
2022-06-13,224,1646,1.66
2022-06-14,239,1407,1.63
